title,characters,url,Production code,Season №,Episode №,Airdate,U.S. premiere time (ET),Copyright year,U.S. viewers (millions),Running time,Sister episode(s),Writer(s),Storyboard Artist(s),Storyboard,Animation,Creative,Next,Previous,Guest(s),Supervising,Line Producer,Main,Supervising Producer(s),Technical,Animation Supervisor
Help Wanted,"['French Narrator', 'Sea urchins', 'SpongeBob SquarePants', 'Gary the Snail', 'Shelley', 'Patrick Star', 'Squidward Tentacles', 'Eugene H. Krabs', 'Incidentals', 'Incidental 30', 'Incidental 30A', 'Betsy Krabs']",https://spongebob.fandom.com/wiki/Help_Wanted,"['PILOT (original 1997 cut)', '2515-127 (1999 recut version)']",1,1a,1997/1998,9:30 pm,"['1997 (1997 version)', '1999 (1999 version)']",2.96,"8 minutes, 16 seconds","['""Reef Blower""', '""Tea at the Treedome""']","['Stephen Hillenburg', 'Derek Drymon', 'Tim Hill']",Derek Drymon,Stephen Hillenburg,Alan Smart,Derek Drymon (uncredited),"""Reef Blower""",,,,,,,,
Reef Blower,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Reef blower', 'Scallop', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 3']",https://spongebob.fandom.com/wiki/Reef_Blower,2515-126,1,1b,"May 1, 1999",9:38 pm,1999,2.96,"2 minutes, 50 seconds","['""Help Wanted""', '""Tea at the Treedome""']","['Stephen Hillenburg', 'Derek Drymon', 'Tim Hill (uncredited)']",Jay Lender (uncredited),Paul Tibbitt (uncredited),"['Fred Miller', 'Tom Yasumi (uncredited)']",Derek Drymon (uncredited),"""Tea at the Treedome""","""Help Wanted""",,,,,,,
Tea at the Treedome,"['SpongeBob SquarePants', 'Jellyfish', 'Lavender jellyfish', 'Sandy Cheeks', 'Giant clam', 'Patrick Star', ""Sandy's orange bird""]",https://spongebob.fandom.com/wiki/Tea_at_the_Treedome,2515-101,1,1c,"May 1, 1999",9:45 pm,1999,2.96,11 minutes,"['""Help Wanted""', '""Reef Blower""']","['Peter Burns', 'Doug Lawrence', 'Paul Tibbitt']",Mark O'Hare,Paul Tibbitt,Tom Yasumi,Derek Drymon,"""Bubblestand""","""Reef Blower""",,,,,,,
Bubblestand,"['SpongeBob SquarePants', 'Scallop', 'Squidward Tentacles', 'Patrick Star', 'Duck bubble', 'Elephant bubble']",https://spongebob.fandom.com/wiki/Bubblestand,2515-105,1,2a,"July 17, 1999",10:00 am,1999,2.51,"11 minutes, 4 seconds","""Ripped Pants""","['Ennio Torresan', 'Erik Wiese', 'Stephen Hillenburg', 'Derek Drymon', 'Tim Hill']",Erik Wiese,Ennio Torresan,Tom Yasumi,Derek Drymon,"""Ripped Pants""","""Tea at the Treedome""",,,,,,,
Ripped Pants,"['French Narrator', 'SpongeBob SquarePants', ""SpongeBob's swim trunks"", 'Sandy Cheeks', 'Squidward Tentacles', 'Larry the Lobster', 'Chef', 'Sports guy', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 3', 'Steven', 'John', 'Tom', 'Incidental 7', 'Incidental 8', 'Incidental 9', 'Incidental 10', 'Priscilla', 'Incidental 13', 'Incidental 14', 'Incidental 15', 'Incidental 16', 'Incidental 17', 'Incidental 18', 'Incidental 19', 'Incidental 20', 'Incidental 21', 'Carol', 'Incidental 23', 'Incidental 24', 'Incidental 24A', 'Incidental 27', 'Incidental 28', 'Incidental 29', 'Incidental 30', 'Incidental 31', 'Don the Whale', 'Crowd', 'Incidental 35', 'Harold', 'Tuck Tucker', 'Scooter', 'Scooter', 'Incidental 39', 'Fish eating burger', 'Fish at snack bar', 'Fish at snack bar', 'Judy', 'Incidental 46', 'Sadie', 'Incidental 48', 'Incidental 49', 'Lifeguard', '""Loser"" incidentals', 'Loser 1', 'Loser 2', 'Loser 3']",https://spongebob.fandom.com/wiki/Ripped_Pants,2515-106,1,2b,"July 17, 1999",10:15 am,1999,2.51,"11 minutes, 2 seconds","""Bubblestand""","['Paul Tibbitt', 'Peter Burns']",Mark O'Hare,Paul Tibbitt,Edgar Larrazábal,Derek Drymon,"""Jellyfishing""","""Bubblestand""",Jay Lender as Chef (uncredited),,,,,,
Jellyfishing,"['French Narrator', 'Jellyfish', 'SpongeBob SquarePants', 'Patrick Star', 'Squidward Tentacles', 'Queen jellyfish']",https://spongebob.fandom.com/wiki/Jellyfishing,2515-103,1,3a,"July 31, 1999",10:00 am,1999,2.89,"11 minutes, 2 seconds","""Plankton!""","['Steve Fonti', 'Chris Mitchell', 'Peter Burns', 'Tim Hill']",Chris Mitchell,Steve Fonti,Alan Smart,Derek Drymon,"""Plankton!""","""Ripped Pants""",,,,,,,
Plankton!,"['Sheldon J. Plankton', 'SpongeBob SquarePants', 'Karen Plankton', 'Eugene H. Krabs', 'Squidward Tentacles', 'Incidentals', 'Fred', 'Tom', 'Incidental 18', 'Gary the Snail', 'The Alphabet Song', 'Patrick Star', ""Plankton's lab"", 'Chum Bucket glove']",https://spongebob.fandom.com/wiki/Plankton!,2515-114,1,3b,"July 31, 1999",10:15 am,1999,2.89,"11 minutes, 1 second","""Jellyfishing""","['Ennio Torresan, Jr.', 'Erik Wiese', 'Doug Lawrence']",Erik Wiese,"Ennio Torresan, Jr.",Edgar Larrazábal,Derek Drymon,"""Naughty Nautical Neighbors""","""Jellyfishing""",Alex the Labrador Retriever as himself,Alan Smart,Donna Castricone,,,,
Naughty Nautical Neighbors,"['Squidward Tentacles', 'SpongeBob SquarePants', 'Patrick Star', 'Gary the Snail']",https://spongebob.fandom.com/wiki/Naughty_Nautical_Neighbors,2515-116,1,4a,"August 7, 1999",10:00 am,1999,2.83,"10 minutes, 48 seconds","""Boating School""","['Sherm Cohen', 'Aaron Springer', 'Doug Lawrence']",Aaron Springer,Sherm Cohen,Fred Miller,Derek Drymon,"""Boating School""","""Plankton!""",,,,,,,
Boating School,"['SpongeBob SquarePants', 'Gary the Snail', 'Squidward Tentacles', 'Mrs. Puff', 'Patrick Star', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 25', 'Joe', 'Incidental 27', 'Incidental 50']",https://spongebob.fandom.com/wiki/Boating_School,2515-104,1,4b,"August 7, 1999",10:15 am,1999,2.83,"10 minutes, 48 seconds","""Naughty Nautical Neighbors""","['Ennio Torresan, Jr.', 'Erik Wiese', 'Doug Lawrence']",Erik Wiese,"Ennio Torresan, Jr.",Tom Yasumi,Derek Drymon,"""Pizza Delivery""","""Naughty Nautical Neighbors""",,,,,,,
Pizza Delivery,"['Squidward Tentacles', 'SpongeBob SquarePants', 'Eugene H. Krabs', 'Sea urchins', 'Pioneers', 'Swordfish trucker', 'Customer']",https://spongebob.fandom.com/wiki/Pizza_Delivery,2515-107,1,5a,"August 14, 1999",10:00 am,1999,2.47,"10 minutes, 45 seconds","""Home Sweet Pineapple""","['Sherm Cohen', 'Aaron Springer', 'Peter Burns']",Aaron Springer,Sherm Cohen,Sean Dempsey,Derek Drymon,"""Home Sweet Pineapple""","""Boating School""",,,,,,,
